client name,version,platform,TLS 1.2,TLS 1.1,TLS 1.0,SSL 3,SSL 2,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,TLS_DHE_DSS_WITH_AES_256_GCM_SHA384,TLS_RSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384,TLS_DHE_RSA_WITH_AES_256_CBC_SHA256,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384,TLS_RSA_WITH_AES_256_GCM_SHA384,TLS_SRP_SHA_DSS_WITH_AES_256_CBC_SHA,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,TLS_SRP_SHA_RSA_WITH_AES_256_CBC_SHA,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA,TLS_RSA_WITH_AES_256_CBC_SHA256,TLS_DH_DSS_WITH_AES_256_GCM_SHA384,TLS_DH_RSA_WITH_AES_256_GCM_SHA384,TLS_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA,TLS_DH_RSA_WITH_AES_256_CBC_SHA256,TLS_DH_DSS_WITH_AES_256_CBC_SHA256,TLS_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA,TLS_DH_RSA_WITH_AES_256_CBC_SHA,TLS_DH_DSS_WITH_AES_256_CBC_SHA,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256,TLS_DH_DSS_WITH_AES_128_GCM_SHA256,TLS_RSA_EXPORT1024_WITH_RC4_56_SHA,TLS_DH_RSA_WITH_AES_128_GCM_SHA256,TLS_RSA_EXPORT1024_WITH_DES_CBC_SHA,TLS_DH_RSA_WITH_AES_128_CBC_SHA256,TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,TLS_DH_DSS_WITH_AES_128_CBC_SHA256,TLS_DHE_DSS_EXPORT1024_WITH_DES_CBC_SHA,TLS_DH_RSA_WITH_AES_128_CBC_SHA,TLS_DH_DSS_WITH_AES_128_CBC_SHA,TLS_DH_RSA_WITH_SEED_CBC_SHA,TLS_DH_DSS_WITH_SEED_CBC_SHA,SSL_RSA_FIPS_WITH_3DES_EDE_CBC_SHA,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA,TLS_SRP_SHA_DSS_WITH_AES_128_CBC_SHA,TLS_DHE_DSS_WITH_AES_128_GCM_SHA256,TLS_SRP_SHA_RSA_WITH_AES_128_CBC_SHA,TLS_DHE_RSA_WITH_SEED_CBC_SHA,TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA,TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA,TLS_DHE_DSS_WITH_SEED_CBC_SHA,TLS_DH_RSA_WITH_DES_CBC_SHA,TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA,TLS_DH_DSS_WITH_DES_CBC_SHA,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA256,TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA,TLS_ECDH_RSA_WITH_AES_128_CBC_SHA256,TLS_DHE_DSS_WITH_AES_128_CBC_SHA256,TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256,TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA,TLS_RSA_WITH_SEED_CBC_SHA,TLS_DHE_RSA_WITH_AES_128_CBC_SHA256,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA,TLS_RSA_WITH_IDEA_CBC_SHA,TLS_RSA_WITH_AES_128_GCM_SHA256,TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA,TLS_DHE_DSS_WITH_AES_128_CBC_SHA,TLS_ECDH_RSA_WITH_AES_128_CBC_SHA,TLS_DHE_RSA_WITH_DES_CBC_SHA,TLS_RSA_WITH_DES_CBC_SHA,TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA,TLS_DHE_DSS_WITH_DES_CBC_SHA,TLS_RSA_WITH_AES_128_CBC_SHA256,TLS_DHE_RSA_WITH_AES_128_CBC_SHA,TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA,TLS_ECDHE_ECDSA_WITH_RC4_128_SHA,TLS_ECDHE_RSA_WITH_RC4_128_SHA,TLS_ECDH_ECDSA_WITH_RC4_128_SHA,TLS_ECDH_RSA_WITH_RC4_128_SHA,TLS_EMPTY_RENEGOTIATION_INFO_SCSV,TLS_RSA_WITH_AES_128_CBC_SHA,TLS_RSA_WITH_3DES_EDE_CBC_SHA,TLS_RSA_WITH_RC4_128_SHA,TLS_RSA_WITH_RC4_128_MD5,ocsp_stapling,sni,secure_reneg,next_proto_reneg,app_level_proto_reneg,session_tickets,ssl2_handshake_compat,tls_compression
Firefox,37,OS X,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,Y,,,Y,Y,Y,Y,Y,Y,,
IE Mobile,11,Win Phone 8.1,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,,Y,,Y,,,Y,Y,,Y,Y,,,Y,,,,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,Y,,,,Y,,Y,,,,,,,,Y,Y,,,Y,Y,Y,Y,Y,Y,,
IE,11,Win 8.1,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,,Y,,Y,,,Y,Y,,Y,Y,,,Y,,,,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,Y,,,,Y,,Y,,,,,,,,Y,Y,,,Y,Y,Y,Y,Y,Y,,
IE,11,Win 7,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,,,Y,,Y,,,Y,Y,,Y,Y,,,Y,,,,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,Y,,,,Y,,Y,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,
Android,4.4.2,,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,Y,,,,Y,,Y,,,,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,
IE Mobile,10,Win Phone 8.0,,,Y,Y,,Y,Y,Y,Y,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,Y,,
IE,8-10,Win 7,,,Y,Y,,Y,Y,Y,Y,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,
IE,7,Vista,,,Y,Y,,Y,Y,Y,Y,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,,,,,
YandexBot,Jan 2015,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,,Y,,,Y,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,Y,Y,Y,,,,,,,,Y,,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,,
Firefox,31.3.0 ESR,Win 7,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,Y,,,,,,,,Y,,Y,,,,,Y,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,Y,,,,,,,Y,Y,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,
BingPreview,Jan 2015,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
Safari,8,OS X 10.10,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,Y,,Y,,,Y,,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,,
Safari,8,iOS 8.1.2,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,Y,,Y,,,Y,,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,,
Safari,7,OS X 10.9,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,Y,,Y,,,Y,,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
Safari,7,iOS 7.1,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,Y,,Y,,,Y,,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
Safari,6,iOS 6.0.1,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,Y,,Y,,,Y,,Y,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
OpenSSL,1.0.2,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,,,,Y,,Y,,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,
Yahoo Slurp,Jan 2015,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,Y,,,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,,
OpenSSL,1.0.1l,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,Y,,,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,,
Android,5.0.0,,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,,Y,,,,Y,,,,Y,,Y,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,Y,Y,Y,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,
Chrome,42,OS X,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,Y,Y,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Android,4.3,,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,,,,,,,,,Y,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,Y,,,Y,Y,Y,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,
Android,4.2.2,,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,,,,,,,,,Y,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,Y,,,Y,Y,Y,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,
Android,4.1.1,,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,,,,,,,,,Y,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,Y,,,Y,Y,Y,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,
Baidu,Jan 2015,,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,,,,Y,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,Y,,,,,Y,Y,,Y,Y,,,Y,Y,Y,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,,
Googlebot,Feb 2015,,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,,Y,,,,,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,
Safari,6.0.4,OS X 10.8.4,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,,Y,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,Y,,Y,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
Android,4.0.4,,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,Y,Y,Y,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,,
Safari,5.1.9,OS X 10.6.8,,,Y,Y,,Y,Y,Y,Y,,,Y,Y,Y,Y,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,,,,,,
Java,8u31,,Y,Y,Y,,,,,Y,Y,,,,,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,Y,,Y,Y,Y,Y,Y,,Y,,Y,,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
Java,7u25,,,,Y,Y,,,,Y,Y,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,Y,Y,Y,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,,,
OpenSSL,0.9.8y,,,,Y,Y,,,,,,,,Y,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,Y,Y,Y,Y,,Y,Y,,,,,Y,Y,Y,Y,Y,,Y,Y,,,Y,,
IE,8,XP,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,Y,Y,Y,,,Y,,,,,
IE,6,XP,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,Y,,Y,Y,Y,,,Y,,,,Y,
Android,2.3.7,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,,Y,Y,,,,,Y,Y,Y,Y,Y,,,Y,,,,,
Java,6u45,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,,Y,Y,,,,,Y,Y,Y,Y,Y,,,Y,,,,Y,
